2023-05-31 11:05:29,564 - INFO - 1 hrz, 
2023-05-31 11:05:30,829 - INFO - 1 hrz, 
2023-05-31 11:05:31,914 - INFO - 1 hrz, 
2023-05-31 11:05:33,077 - INFO - 1 hrz, 
2023-05-31 11:05:34,096 - INFO - 1 hrz, 
2023-05-31 11:05:35,138 - INFO - 1 hrz, 
2023-05-31 11:05:36,202 - INFO - 1 hrz, 
2023-05-31 11:05:37,236 - INFO - 1 hrz, 
2023-05-31 11:05:38,451 - INFO - 1 hrz, 
2023-05-31 11:05:39,505 - INFO - 1 hrz, 
2023-05-31 11:05:40,530 - INFO - 1 hrz, 
2023-05-31 11:05:41,731 - INFO - 1 hrz, 
2023-05-31 11:05:42,873 - INFO - 1 hrz, 
2023-05-31 11:05:43,983 - INFO - 1 hrz, 
2023-05-31 11:05:45,028 - INFO - 1 hrz, 
2023-05-31 11:05:46,214 - INFO - 1 hrz, 
2023-05-31 11:05:47,416 - INFO - 1 hrz, 
