2023-05-29 15:36:04,070 - INFO - 1 hrz, 
2023-05-29 15:36:05,190 - INFO - 1 hrz, 
2023-05-29 15:36:06,274 - INFO - 1 hrz, 
2023-05-29 15:36:07,380 - INFO - 1 hrz, 
2023-05-29 15:36:08,499 - INFO - 1 hrz, 
2023-05-29 15:36:09,633 - INFO - 1 hrz, 
2023-05-29 15:36:10,737 - INFO - 1 hrz, 
2023-05-29 15:36:11,883 - INFO - 1 hrz, 
2023-05-29 15:36:12,949 - INFO - 1 hrz, 
2023-05-29 15:36:14,008 - INFO - 1 hrz, 
2023-05-29 15:36:15,244 - INFO - 1 hrz, 
2023-05-29 15:36:16,409 - INFO - 1 hrz, 
2023-05-29 15:36:17,695 - INFO - 1 hrz, 
2023-05-29 15:36:18,896 - INFO - 1 hrz, 
2023-05-29 15:36:20,584 - INFO - 1 hrz, 
2023-05-29 15:36:21,713 - INFO - 1 hrz, 
2023-05-29 15:36:22,917 - INFO - 1 hrz, 
2023-05-29 15:36:24,098 - INFO - 1 hrz, 
2023-05-29 15:36:25,343 - INFO - 1 hrz, 
2023-05-29 15:36:26,550 - INFO - 1 hrz, 
2023-05-29 15:36:27,885 - INFO - 1 hrz, 
